English|Sanskrit
Then it will be time to sell him for vast sums of money.|तत् पश्चात् बहुधनार्थं तस्य विक्रयणं भविष्यति।
What will he be used for?|कुत्र कुत्र तेन प्रयोजनं भवति?
Horse-racing...|अश्व-धावन-स्पर्धायां वा...
or he may be used to play polo, a ball game played on horse-back..|पोलो-नाम्ना अश्वारुढः कन्दुक-क्रीडायाम् वा...
or as a showjumper.|..कूर्दन-प्रदर्शने वा।
Did you know all ponies are horses, but not all horses are ponies?|सर्वे अश्वकाः अश्वाः सन्ति किन्तु सर्वे अश्वाः अश्वकाः न इति ज्ञायते वा?
For ponies are horses that are 1.5 metres high at the base of the neck.|अश्वकाः तु कण्ठस्य अधोभागे केवलं एकदशमलवपञ्चमिति-पर्यन्तम् उन्नताः वर्तन्ते।
The magic glasses.|मायावी उपनेत्रम्।
The old man and his goat lived in the outskirts of a village.|वृद्धः, तस्य अजः कस्यचन ग्रामस्य अन्ते निवासं कृतवन्तौ।
One day -|एकदा -
The glare from the sun is getting too much for my old eyes.|सूर्यप्राकशः मम वृद्ध-नेत्रौ बाधते।
I need a pair of dark glasses.|कृष्ण-वर्ण-उपनेत्रम् आवश्यकम्।
The next morning-|आगामि-प्रभाते-
What kind would you like? Brown or Green?| कः वर्णः आवश्यकः? पिङ्गलो वा हरितो वा?
Let me try both.|उभये धृत्वा पश्यामि।
AAH! This green pair is really soothing. I'll take it.|हाऽऽऽ! हरित-उपनेत्रम् बहु सुखकारि एव। क्रीणामि।
Right.|अस्तु!
Back home - |गृहे प्रत्यागत्य -
See me new glasses?|मम नूतनम् उपनेत्रम् पश्य!
Oh, but you must be hungry.|अहो! बुबुक्षः वा त्वम्?
I'll cut some grass for you.|घासं कर्तयित्वा आनेष्यामि?
Soon -|अचिरात् -
Here-some lovely fresh grass.|स्वीकुरु मधुरं प्रत्यग्र-घासम्।
What? Not eating? Let me see...|किम्? न खादसि? पश्यामि...
Oh, oh! The grass is dry.|अहो! घासः शुष्कः।
Put on my glasses..|मम उपनेत्रं धर...
See? The grass is now green and fresh!|पश्यसि वा? अधुना घासः हरितः प्रत्यग्रः च!
Aren't they wonderful glasses!|अद्भुतम् उपनेत्रं खलु?
This happened to me...|इदं जातं माम्...
I used to go to school by bus.|पूर्वं विद्यालयं लोक-याने गच्छन् अस्मि।
One day I lost my mathematical instruments box.|एकदा मम गणित-उपकरण-पेटिका लुप्ता जाता।
Only the compass was left with me as I was using it at that time.|केवलं वृत्तिनिर्माता एव शेषः यतोहि तेन कार्यम् कुर्वन् अस्मि।
While travelling in the bus, I carelessly scratched my name on the rear of the seat in front of me.|लोकयाने प्रयान-समये विना चिन्तनेन अग्रासन्दस्य पृष्ठे मम नाम उत्कीर्णम् कृतं मया।
The next day I happened to sit on the same seat in the same bus.|अग्रिमे दिवसे तस्य एव लोक-यानस्य तस्मिन् एव आसन्दे पुनः उपविष्टवान्।
I was shocked to notice that somebody had scratched, "..is a bad boy" after my name!|जडीभूतः अभवम् यदा मया दृष्टं यत् मम नाम्नः अनन्तरं 'दुष्टः बालः' इति उत्कीर्णमासीत्।
From that day I stopped scratching my name on the rear of seats!|तद् दिवसात् पश्चात् आसन्द-पृष्ठेषु नाम-लेखनं त्यक्तं मया।
This true-life story has been sent by Narendra Kumar Mittal of Mysore.|इयं वास्तव-जीवन-कथा मैसूरुतः नरेन्द्र-कुमार-मित्तलेन प्रेषिता।
Find the missing numbers.|लुप्ताः संख्याः अन्विष्यन्ताम्।
Which barrel is different?|कतमः कबन्धः भिन्नः?
What is the major mistake in this picture of the Quit India Movement of 1942?|द्विचत्वारिंशदुत्तरोनविंशतिशत-तमस्य वर्षस्य "त्यजन्तु भारतम्" आन्दोलनस्य अस्मिन् चित्रे प्रधान-दोषः कः?
Self-inflating balloon|स्वयंफुल्लद्वागोलः
You will need: sugar, dry yeast, a balloon, a long bottle and string.|आवश्यकानि - शर्करा, शुष्क-प्रकिण्वं, दीर्घ-रिक्त-कूपी, तन्तुः च।
Dissolve five spoonfuls of sugar in a cup of water.|जलस्य चषके पञ्चचमसमिता शर्करा युज्यताम्।
Pour this solution into a clear bottle.|रिक्तकूपी अनेन क्वाथेन पूरिता भवितव्या।
Now mix one spoonful of yeast and two spoonfuls of water and pour this mixture into the bottle containing the sugar solution.|अधुना शर्कर-क्वाथ-युक्त-कूप्याम् एकचमसमित-प्रकिण्वस्य द्विचमसमित-जलस्य च मिश्रणं योजितव्यम्।
Now fix a balloon tightly to the neck of the bottle and tie a string round it.|कूपी-ग्रीवायां वागोलः तन्तुना बन्धितव्यः।
Put this bottle in a warm place. After some time the balloon will get inflated.|उष्ण-स्थाने कूपी इयं स्थापितव्या। किञ्चित् समयानन्तरं वागोलः फुल्लिष्यति।
This is because the yeast breaks down the sugar to release carbon dioxide gas which inflates the balloon.|यतोहि शर्करायाः विघटनात् अङ्गाराम्लवायोः उत्सर्गः भवति येन वागोलः फुल्लति।
Scissors, curved rule, needle, thimble. reel belong to tailor|कर्तरी, वक्र-मापिका, सूची, अङ्गुलित्राणम्, आवापन
Saw, screwdriver, hammer, file belong to carpenter|आरा, वर्तनीचालकः, मुद्गरः, लोहमार्जनी
Judge's wig, Soldieös helmet, Cadet's cap|आङ्ग्ल-न्यायाधीश-कृत्रिमकेशः, सैन्य-शिरोत्राणम्, युव-शिशिक्षु-शिरस्त्रम्
Arab's headdress, Baker's (chef's) cap|अरबीय-कुरीरम्, भर्जन-शिरस्त्रम्
A LEAKY TALE|छिद्र-कथा
LET'S HOPE we HAVE a good day's fishing.|बहूनि मत्स्यानि गृह्णीयाम।
What a glorious day!|अहो! उत्तमः दिवसः!
WHAT'S THAT? I didn't KNOW WE HAD A FOUNTAIN ON BOARD.|किम् इदम्? नौकायां जलाकरः अस्ति इति न ज्ञातम् मया।
THE BOAT'S SPRUNG a LEAk, you Fool!|नौकायां स्रावः अस्ति मूर्ख!
What shall we do?|किं कर्तव्यम्?
I have it! We'll make ANOTHER HOLE SO THaT THE WATER will FLOW out OF THAT!|अन्यं चेदं करिष्यावः जलं तेन चेदेन निस्स्रविष्यति।
A brilliant idea.|उत्तमः कल्पः।
WHAT HAPPENS NEXT? Complete the story in 200 or fewer words and send it to us by July 20 1985. The best entry will win Rs. 50. Also 3 consolation prizes of Rs. 25 each.|अग्रे किम् जनिष्यते? द्विशत-शब्देषु वा न्यून-संख्याके वा कथां पूरयतु तथा पञ्चाशीत्युत्तर-नवदश-शततमे वर्षे जुलैमासस्य विंशद्-दिनाङ्कस्य पर्यन्तं प्रेषयितुं शक्यते। सर्वोत्तम-लेखनाय पञ्चाशत् रूप्यकाणि। त्रिभ्यः पञ्चविंशद्-रूप्यक-मूल्यात्मकाः सान्त्वना-पुरस्काराः अपि दास्यन्ते।
One day a professor was travelling by train, WHEN---|यदा कश्चन प्राध्यापकः लोहपथयानेन कुर्वन् अस्ति --
Your tickets, please.|कृपया चीटिकाः दृश्यन्ताम्।
Dear, oh, dear - where is my ticket?|हा हन्त! कुत्र मम चीटिका?
Ticket please.|कृपया चीटिकां दर्शयतु।
I'm sorry. I SEEM TO HAVE misplACED my TICkET.|क्षम्यताम्। मम चीटिका कुत्र स्थापिता इति विस्मृतम्।
Well, all right. You seem to be an honest and respectable man. I am sure you must have bought your ticket.|अस्तु। भवान् विश्वासी सज्जनः च इव दृश्यते। चीटिकां विक्रीतवान् इति मन्ये अहम्।
Yes, I did. But you see, I have to find it!|आम् आम्! किन्तु अन्वेष्टव्या।
But I've told you that it's all right by me.|किन्तु कथितं किल मया यत् समस्या नास्ति।
But you don't understand.|किन्तु भवान् न अवगच्छन् अस्ति।
If I don't find it, how will I know at which station to get off?|अन्विष्टुं न शक्नोमि चेत् कुत्र उत्तराणि इति कथं ज्ञास्यामि?
TRE BOAT RACe OF ernakulam, Kerala was about to begin.|केरल-प्रदेशे एर्नाकुलं-नगरीयायाः नौका-स्पर्धायाः आरम्भ-समये।
Look. They are all lined up.|दृश्यन्ताम्। सर्वे रेखायां सन्ति।
It will start any minute now.|कदापि आरब्धुं शक्यते।
Hurray! Here they go.|भल्ल! ते गताः।
Those two are neck-and-neck.|तौ समानौ एव।
Friend could you lend me a box of matches.|मित्र, अग्निपेटिकां दातुं शक्यते वा?
Eh..? Sure.|अ..अवश्यम्!
Come on! Faster! Faster!|चल! शीघ्रतरम्! शीघ्रतरम्!
It will be a close finish.|अन्ते अन्तरं न्यूनं भविष्यति।
Look! That man has jumped in.|दृश्यताम्! सः जले कूर्दितवान्।
Hey! Everyone's forgotten the boat race.|भोः! सर्वैः नौका-स्पर्धा विस्मृता।
Naturally - see this man has done such a fine deed saving the other fellow.|अवश्यमेव! अन्यस्य प्राणरक्षां कृत्वा उत्तमकार्यं कृतवान्।
My boy! Well done! This man must be your relative.|साधु वत्स, साधु! बन्धुः वा तव?
Relative? I've never seen him before.|बन्धुः? इतःपरम् न दृष्टः मया!
Bravo! Yet you jumped in so promptly after him.|साधु! तथापि तम् अनुसृत्य सत्वरं कूर्दितवान्।
Naturally. He had my box of matches.|अवश्येमव! मम अग्निपेटिका तस्य पार्श्वे आसीत्।
One more victim.|इतोऽपि एका वञ्चना।
One evening, on a busy street.|कस्मिञ्चित् सायङ्काले कस्याञ्चन सम्मर्द्यां वीथ्याम्।
Hot news!|नूतन-वार्ता!
One boy dupes 57 persons.|एकस्य बालस्य द्वारा सप्त-पञ्चाशज्-जनानां वञ्चना।
57 duped by one boy. Single-handedly.|एककिनः बालस्य द्वारा एव सप्त-पञ्चाशज्-जनानां वञ्चना।
Come here, boy! How much for that paper?|बाल, इह आगच्छ! वार्तापत्रस्य कृते कियन्ति रूप्यकाणि?
One Rupee, sir.|एकमेव रूप्यकम्, महोदय!
Breaking the sound barrier.|ध्वनि-वेगस्य अतिक्रमणम्।
When man first attempted flight he did so on machines like this one built by the wright brothers.|यदा मनुष्यः प्रथमवारम् उड्डयनं प्रयततवान्, सः ईदृशानां यन्त्राणां द्वारा कृतवान् येषां निर्माणं व्रैट्-भ्रातृभ्यां कृतम्।
The early aeroplanes were crude machines.|आरम्भक-विमानानि असंस्कृत-यन्त्राणि आसन्।
Today's aeroplanes however are sleek.|किन्तु अद्यतन-विमानानि तु सुसंस्कृतानि।
At first, aeroplanes were driven by propellers and travelled at low speeds.|आदौ, विमानानि प्रपेलकानां द्वारा निम्नवेगेन चालितानि आसन्।
But with the advent of the jet engine, aircraft can be made to fly faster and faster.|किन्तु क्षिपप्रणोदन-यन्त्रस्य आविष्करणेन विमानानि इतोऽपि वेगेन चलितुम् शक्नुवन्ति।
Today we have aeroplanes which can fly faster than even the speed of sound.|अद्य विमानानि सन्ति यानि ध्वनि-वेगात् अपि शीघ्रतया उड्डयितुम् शक्नुवन्ति।
Sound travels at the speed of 1216 kmph, approximately, in air.|वायौ ध्वनिः प्रतिहोरां प्रायः षोडशोत्तरद्वादश-किलोमिति-वेगेन गच्छति।
Such aeroplanes are known as supersonic aeroplanes.|ईदृशानि विमानानि पराध्वनिक-विमानानि इति ज्ञायन्ते।
Most of them are used by the military.|तेषु अधिकांशः सेनया उपयुज्यमानः अस्ति।
Now let us see what happens when an aeroplane tries to move faster than the speed of sound.|यदा विमानं ध्वनि-वेगात् शीघ्रतया चलति तदा किं जायते इति अधुना दृश्यतामेव।
This is a sepecat jaguar of the Indian Air Force taking off.|इदं भारतीय-वायु-सेनायाः उन्नीयमानं सेपेकाट्-जागुवार-विमानम् अस्ति।
The jaguar has a top speed of 1920 kmph.|जागुवार-विमानस्य सर्वोत्तम-वेगः अस्ति प्रतिहोरां विंशत्युत्तरनवदशशत-किलोमितिः।
Soon the pilot climbs to a height of 5000 metres.|अचिरादेव चालकः पञ्चसहस्रमीटर्-पर्यन्तम् औन्नत्यम् प्राप्नोति।
He pushes forward the throttle (speed controll) levers and the aeroplane goes faster and faster.|वेग-नियन्त्रण-यष्टिम् अग्रे नुत्त्वा विमानम् इतोऽपि वेगेन चालयति।
When the aircraft moves, it pushes the air in front of it.|यदा विमानं चलति तदा अग्रे वायुं नुदति।
The air moves away from the plane but it cannot move faster than the speed of sound.|वायुः विमानात् अपसरति किन्तु ध्वनि-वेगात् शीघ्रतया न चलितुं शक्नोति।
So when the plane approaches the speed of sound, the air can no longer move away and it forms a wall in front. This is called the sound barrier.|यदा विमानं ध्वनि-वेगं प्राप्नोति तदा वायुः अपसर्तुं न शक्त्वा भित्तिं निर्माति। ध्वनि-भित्ति इति उच्यते।
The aircraft pushes its way through this wall of air. There is a loud bang as it does so. This is called a sonic boom. Now the aeroplane is travelling faster than the speed of sound.|
But the aircraft leaves behind waves of compressed air. These waves can shatter window-panes if the aircraft breaks the sound barrier at too low a height.|किन्तु विमानस्य पृष्ठे सङ्कुचितवायोः तरङ्गाः अवशिष्यन्ते। इमे तरङ्गाः वातायनकाचं भङ्क्तुं शक्नुवन्ति यदि विमानम् अति-न्यूनौन्नत्ये ध्वनि-बन्धकम् भनक्ति।
Here are some aeroplanes which can travel faster than the speed of sound.|अत्र कानिचन विमानानि सन्ति यानि ध्वनिवेगात् शीघ्रतया चलितुं शक्नुवन्ति।
Partho's joke.|पार्थस्य परिहासः
One evening partho entered a crowded restaurant.|कस्मिञ्चन सायङ्काले पार्थः कस्मिञ्चित् भोजनालये आगतवान्।
Waiter! Bring me a plate of chicken biryani.|परिवेषक! कुक्कुटमांसौदनेन पूरिताम् एकां स्थालिकाम् आनयतु।
Yes, sir.|अवश्यम् महोदय!
Good.|सम्यक्!
Gentlemen! When Partho eats Biryani, everyone eats Biryani!|सज्जनाः! यदा पार्थः मांसौदनं खादति, प्रत्येकः मांसौदनं खादति!
Yeah! Free biryani.|अहो! निश्शुल्कं मांसौदनः!
How generous of him!|अहो! औदार्यम्!
Waiter, bring me a plate quickly.|परिवेषक! मह्यम् एकां स्थालिकां सत्वरम् आनायतु!
Me, too!|मह्यम् अपि!
Delicious!|रुचिकरः एव!
And now, gentlemen, when partho pays his own bill, everyone pays his own bill!!|अस्तु, सज्जनाः! यदा पार्थः स्वीय-देयकस्य धनसमर्पणं करोति प्रत्येकः स्वीय-देयकस्य धनसमर्पणं करोति!
Raghu, why are days longer in summer.|रघो, किमर्थं ग्रीष्मकाले दिवसाः दीर्घतराः?
